Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes,Description,Section,Cardinality,MissingValueCodes,Provenance,SeeAlso
tested_positive_for_covid,Have you ever tested positive for COVID-19?,,int,,,"""1""=[Yes] |""2""=[No] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vacc_date_mdy,Date of Vaccine Acceptance Collection,,dateTime,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_avail,How likely are you to get an approved COVID-19 vaccine when it becomes available? ,,int,,,"""1""=[Very likely] |""2""=[Fairly likely] |""3""=[Not too likely] |""4""=[Not at all likely] |""5""=[Definitely not] |""97""=[Not applicable] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___1,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I'm allergic to vaccines] |""1""=[I'm allergic to vaccines] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___10,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) Other] |""1""=[Other] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___2,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I don't like needles] |""1""=[I don't like needles] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___3,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I'm not concerned about getting really sick from COVID-19] |""1""=[I'm not concerned about getting really sick from COVID-19] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___4,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I'm concerned about side effects from the vaccine] |""1""=[I'm concerned about side effects from the vaccine] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___5,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I don't think vaccines work very well] |""1""=[I don't think vaccines work very well] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___6,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I don't trust that the vaccine will be safe] |""1""=[I don't trust that the vaccine will be safe] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___7,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I don't believe the COVID-19 pandemic is as bad as some people say it is] |""1""=[I don't believe the COVID-19 pandemic is as bad as some people say it is] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___8,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I don't want to pay for it] |""1""=[I don't want to pay for it] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___9,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) I don't know enough about how well a COVID-19 vaccine works] |""1""=[I don't know enough about how well a COVID-19 vaccine works] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_concerns_3___96,Why would you NOT get a COVID-19 vaccine? ,,boolean,,,"""0""=[(not selected) Not Applicable] |""1""=[Not Applicable] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_literacy,"How often do you need someone to help you to understand information or guidance from your doctor, nurse or pharmacist?",,int,,,"""1""=[Often] |""2""=[Sometimes] |""3""=[Rarely] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___1,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) I want to keep my family safe] |""1""=[I want to keep my family safe] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___10,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) Required by my school or workplace] |""1""=[Required by my school or workplace] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___11,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) Required for travel] |""1""=[Required for travel] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___2,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) I want to keep my community safe] |""1""=[I want to keep my community safe] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___3,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) I want to keep myself safe] |""1""=[I want to keep myself safe] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___4,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) I have a chronic health problem, like asthma or diabetes] |""1""=[I have a chronic health problem, like asthma or diabetes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___5,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) My doctor told me to get a COVID-19 vaccine] |""1""=[My doctor told me to get a COVID-19 vaccine] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___6,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) I don't want to get really sick from COVID-19] |""1""=[I don't want to get really sick from COVID-19] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___7,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) I want to feel safe around other people] |""1""=[I want to feel safe around other people] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___8,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) I believe life won't go back to normal until most people get a COVID-19 vaccine] |""1""=[I believe life won't go back to normal until most people get a COVID-19 vaccine] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___9,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) Other] |""1""=[Other] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
vaccine_reasons_3___96,Why would you get a COVID-19 vaccine?,,boolean,,,"""0""=[(not selected) Not Applicable] |""1""=[Not Applicable] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,,,,,
nih_vape_freq,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?","NCIT:C173621
NCIT:C120482
NCIT:C68751
NCIT:C173060",integer,,,"""0""=[Not at all] |
""1""=[Rarely] |
""2""=[Some Days] |
""3""=[Every Day] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,Medical History,single,,,
nih_weight,What is your weight in pounds?,,integer,,pound,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,Health Status,single,,,
nih_height,What is your height in inches?,,integer,,inch,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,Health Status,single,,,
nih_race,What is your race?,"NCIT:C17049
GSSO:002199",integer,,,"""0""=[American Indian or Alaska Native] |
""1""=[Black or African American] |
""2""=[Asian] |
""3""=[Native Hawaiian or Other Pacific Islander] |
""4""=[White] |
""5""=[Middle Eastern or North African] |
""6""=[Two or more races] |
""97""=[Some other race] |
""98""=[Do not know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,Race,single,,,
nih_alcohol_yn,Alcohol use (Yes or No),"GSSO:006602
NCIT:C81229
NCIT:C16273",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,Medical History,single,,,
nih_cig_smoke_freq,Nicotine Frequency: Do you now smoke cigarettes?,"NCIT:C19796
NCIT:C68751
NCIT:C173060",integer,,,"""0""=[Not at all] |
""1""=[Rarely] |
""2""=[Some Days] |
""3""=[Every Day] |
""98""=[Don't know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,Medical History,single,,,
nih_smoking_yn,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?","NCIT:C68751
NCIT:C173060",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",,,Medical History,single,,,
